#name	base	sugar	phosphate	o2group

?dT_mod_phos	thymine	desoxyribose	mod_phosphate	oh

?A_mod_diphos	adenine	ribose	mod_di_phosphate	oh
?C_mod_diphos	cytosine	ribose	mod_di_phosphate	oh
?G_mod_diphos	guanine	ribose	mod_di_phosphate	oh
?U_mod_diphos	uracil	ribose	mod_di_phosphate	oh
?T_mod_diphos	thymine	ribose	mod_di_phosphate	oh

?dA_mod_diphos	adenine	desoxyribose	mod_di_phosphate	oh
?dC_mod_diphos	cytosine	desoxyribose	mod_di_phosphate	oh
?dG_mod_diphos	guanine	desoxyribose	mod_di_phosphate	oh
?dU_mod_diphos	uracil	desoxyribose	mod_di_phosphate	oh
?dT_mod_diphos	thymine	desoxyribose	mod_di_phosphate	oh

#stereoisomers
arabinoseU	uracil	arabinose	default	oh
arabinoseA	adenine	arabinose	default	oh
arabinoseG	guanine	arabinose	default	oh
arabinoseC	cytosine	arabinose	default	oh
alpha-dA	adenine	alpha-desoxyribose	default	oh
