fn,rmsd
Triple_tWW_tSW_CUA_rpr.pdb,1.23
Triple_cWW_tHH_GCG_exemplar_rpr.pdb,1.23
Triple_cHW_tSW_UUA_rpr.pdb,1.23
Triple_cWW_tHH_CAA_rpr.pdb,1.23
Triple_cSW_tHW_AGC_rpr.pdb,1.23
Triple_tHW_tHW_UGA_rpr.pdb,1.24
Triple_tWW_cHW_CGG_rpr.pdb,1.24
Triple_cSW_tHH_ACA_rpr.pdb,1.24
Triple_tSW_tSW_CUC_rpr.pdb,1.25
Triple_tWW_tHH_CCG_rpr.pdb,1.25
Triple_tHW_tSH_GGG_rpr.pdb,1.25
Triple_cWW_tHW_CAA_rpr.pdb,1.25
Triple_cSW_tHW_GGA_rpr.pdb,1.25
Triple_cSW_tHW_UAC_rpr.pdb,1.25
Triple_tHW_tHW_GUG_rpr.pdb,1.25
Triple_cSW_tHH_UCA_rpr.pdb,1.25
Triple_cSW_cHW_CAG_rpr.pdb,1.25
Triple_tWW_tHH_AUA_rpr.pdb,1.26
Triple_cWW_tSH_UGU_exemplar_rpr.pdb,1.26
Triple_cHW_tHS_GUA_rpr.pdb,1.26
Triple_cSW_tHH_GCG_rpr.pdb,1.26
Triple_cHW_tHW_AUU_exemplar_rpr.pdb,1.26
Triple_cSW_tHS_UUG_rpr.pdb,1.26
Triple_cSW_tHS_CUG_rpr.pdb,1.26
Triple_tHW_cHW_GGG_rpr.pdb,1.27
Triple_cWW_tHS_GUA_rpr.pdb,1.27
Triple_cHW_tHH_AGA_rpr.pdb,1.28
Triple_cWW_tHW_CGC_exemplar_rpr.pdb,1.28
Triple_cWW_tHH_UUA_rpr.pdb,1.29
Triple_tHW_tHH_CCG_rpr.pdb,1.29
Triple_cSW_tHH_AUA_rpr.pdb,1.3
Triple_tHW_tHW_AUU_rpr.pdb,1.3
Triple_cWW_tHS_AUG_rpr.pdb,1.3
Triple_cSW_tHH_UUC_rpr.pdb,1.3
Triple_cSW_cHW_AAG_rpr.pdb,1.31
Triple_tHW_tHH_CCA_rpr.pdb,1.31
Triple_cWW_tHW_CGC_rpr.pdb,1.31
Triple_tSW_tHS_GUG_rpr.pdb,1.32
Triple_cSW_tSH_CGU_rpr.pdb,1.32
Triple_cWW_tHH_CCU_rpr.pdb,1.32
Triple_cSW_tSW_UCC_rpr.pdb,1.32
Triple_tWW_tHH_UAG_rpr.pdb,1.32
Triple_cWW_tSW_CAA_rpr.pdb,1.32
Triple_tSW_tHH_CGC_rpr.pdb,1.33
Triple_cHW_tSW_AUA_rpr.pdb,1.33
Triple_cSW_tHH_GCA_rpr.pdb,1.33
Triple_tSW_tHH_UGC_rpr.pdb,1.33
Triple_cHW_tSW_GAA_rpr.pdb,1.34
Triple_cSW_tHH_GGC_rpr.pdb,1.34
Triple_cSW_tHH_CUC_rpr.pdb,1.34
Triple_tHW_cHW_AUA_rpr.pdb,1.34
Triple_cHW_tHH_GGA_rpr.pdb,1.34
Triple_cWW_tHW_CGA_exemplar_rpr.pdb,1.34
Triple_cWW_tSW_CCC_rpr.pdb,1.34
Triple_tSW_cHW_CGA_rpr.pdb,1.34
Triple_tWW_tHW_UUG_rpr.pdb,1.35
Triple_cSW_tHS_GGG_rpr.pdb,1.35
Triple_tWW_tHH_CCA_rpr.pdb,1.35
Triple_tSW_cHW_AAG_rpr.pdb,1.35
Triple_tWW_tHH_CGC_rpr.pdb,1.35
Triple_tWW_tHW_GUG_rpr.pdb,1.35
Triple_cSW_tSH_UGU_rpr.pdb,1.35
Triple_cSW_tHH_AUC_rpr.pdb,1.35
Triple_tSW_tSH_CGU_rpr.pdb,1.36
Triple_cSW_tHW_CCC_rpr.pdb,1.36
Triple_cSW_tHH_UCG_rpr.pdb,1.36
Triple_tWW_tSW_UCC_rpr.pdb,1.36
Triple_cWW_tHW_UGC_rpr.pdb,1.37
Triple_cSW_tHW_ACC_rpr.pdb,1.37
Triple_cHW_cHH_AGA_rpr.pdb,1.37
Triple_cWW_tSW_UAA_rpr.pdb,1.37
Triple_tSW_tHW_CGU_rpr.pdb,1.37
Triple_tHW_cHH_GGA_rpr.pdb,1.37
Triple_cSW_tHW_GCC_rpr.pdb,1.38
Triple_cHW_tHW_GAC_rpr.pdb,1.38
