triple,instances,clashes,near,exists,contacts_bo,contacts_no_bk,contacts_rpr,clashscore_rpr,clashscore_no_bk,clashscore_bo,,,
cHH_tSS_GAC,0,0,0,1,1,2,2,0,0,0,,,
cHH_tSS_GAG,0,1,0,1,2,3,3,9.62,11.63,22.73,,,
cHH_tSS_GAU,0,1,0,1,1,2,2,0,0,0,,,
cHH_tSS_GGA,0,32,0,1,0,0,0,203.88,23.53,0,,,
cHH_tSS_GGC,0,0,0,1,1,1,2,0,0,0,,,
cHH_tSS_GGG,0,17,0,1,2,3,4,76.92,68.97,0,,,
cHH_tSS_GGU,0,24,0,1,1,2,2,0,0,0,,,
cHH_tSW_AGA,0,0,0,1,3,3,3,0,0,0,,,
cHH_tSW_AGC,0,0,0,1,3,3,3,0,0,0,,,
cHH_tSW_AGU,0,0,0,1,2,2,2,0,0,0,,,
cHH_tSW_CGA,0,1,0,1,2,2,2,9.9,12.05,0,,,
cHH_tSW_CGC,0,3,0,1,2,3,3,20.41,24.69,0,,,
cHH_tSW_CGU,0,1,0,1,1,1,1,10.31,12.5,26.32,,,
cHH_tSW_GAA,0,0,0,1,2,2,2,0,0,0,,,
cHH_tSW_GAC,0,0,0,1,2,2,2,0,0,0,,,
cHH_tSW_GAU,0,3,0,1,2,3,3,0,0,0,,,
cHH_tSW_GCA,0,32,0,1,1,1,1,150,134.15,0,,,
cHH_tSW_GCC,0,11,0,1,1,1,0,10.31,12.35,0,,,
cHH_tSW_GCG,0,27,0,1,2,2,2,118.81,47.62,23.81,,,
cHH_tSW_GCU,0,39,0,1,1,1,1,81.63,75,0,,,
cHH_tSW_GGA,0,12,0,1,2,2,2,9.8,34.88,0,,,
cHH_tSW_GGC,0,30,0,1,2,2,2,198.02,24.1,0,,,
cHH_tSW_GGU,0,8,0,1,1,1,2,0,0,24.39,,,
cHW_cHH_AGA,0,1,0,1,3,3,3,9.71,11.76,23.26,,,
cHW_cHH_AGC,0,2,0,1,2,2,2,10,12.05,0,,,
cHW_cHH_AGG,0,6,0,1,2,2,3,57.69,0,0,,,
cHW_cHH_CCG,0,4,0,1,1,1,2,20.2,12.35,0,,,
cHW_cHH_GAG,0,1,0,1,2,2,3,9.62,11.63,22.73,,,
cHW_cHH_GCG,0,5,0,1,1,1,2,49.02,23.81,0,,,
cHW_cHH_GGA,0,0,2,1,4,4,4,0,0,0,,,
cHW_cHH_GGC,0,12,0,1,2,2,3,9.8,11.9,0,,,
cHW_cHH_GGG,0,2,0,1,2,2,3,19.05,0,0,,,
cHW_cHH_UAG,0,0,0,1,2,2,2,0,0,0,,,
cHW_cHH_UCG,0,2,0,1,1,1,1,20.41,25,0,,,
cHW_cHS_AGA,0,4,0,1,2,4,2,9.9,0,0,,,
