fn,rmsd
Triple_tHH_cSW_CGU_rpr.pdb,5.74
Triple_tWH_tSS_UGC_rpr.pdb,5.77
Triple_cSH_cSH_GCU_rpr.pdb,5.78
Triple_cHH_tSS_CGU_rpr.pdb,5.8
Triple_cWW_cSW_CGU_exemplar_rpr.pdb,5.83
Triple_tHW_cSH_UGC_rpr.pdb,5.86
Triple_cSH_tSH_GUC_rpr.pdb,5.87
Triple_tWW_cSH_UGC_rpr.pdb,5.87
Triple_cSH_cSS_GCU_rpr.pdb,5.88
Triple_cHW_tSW_GCU_rpr.pdb,5.9
Triple_tHH_cSS_CUG_rpr.pdb,5.95
Triple_cHW_tSW_GUC_rpr.pdb,5.97
Triple_cSW_cSS_UGC_rpr.pdb,6.02
Triple_tSW_cSH_CGU_rpr.pdb,6.03
Triple_cSH_cSS_GUC_rpr.pdb,6.08
Triple_cSH_cSS_CUG_rpr.pdb,6.13
Triple_cWH_tSW_CGU_rpr.pdb,6.13
Triple_tSW_cHH_UCG_rpr.pdb,6.15
Triple_cSH_cSW_GUC_rpr.pdb,6.19
Triple_cSH_tSW_GUC_rpr.pdb,6.24
Triple_cWH_tSH_CGU_rpr.pdb,6.29
Triple_cHH_cSW_CGU_rpr.pdb,6.29
Triple_cSH_cSH_GUC_rpr.pdb,6.3
Triple_cWH_cSS_CUG_rpr.pdb,6.32
Triple_tSW_cSS_CGU_rpr.pdb,6.32
Triple_tWH_cSW_CGU_rpr.pdb,6.36
Triple_cHH_tSW_CGU_rpr.pdb,6.41
Triple_cWH_cSS_UGC_rpr.pdb,6.52
Triple_cHH_tSH_CGU_rpr.pdb,6.54
Triple_cWH_cSW_CGU_rpr.pdb,6.64
Triple_tHH_cSH_CGU_rpr.pdb,6.71
Triple_cWH_tSW_UGC_rpr.pdb,6.82
Triple_tHW_cSS_UGC_rpr.pdb,6.89
Triple_cWH_cSW_UGC_rpr.pdb,6.93
Triple_tWH_cSW_UGC_rpr.pdb,6.94
Triple_tHH_cSS_CGU_rpr.pdb,7.01
Triple_tSW_cSS_UGC_rpr.pdb,7.02
Triple_cHH_cSH_CGU_rpr.pdb,7.04
Triple_cWH_cSS_CGU_rpr.pdb,7.11
Triple_tWH_cSH_CGU_rpr.pdb,7.13
Triple_tWH_cSH_UGC_rpr.pdb,7.15
Triple_tWW_cSS_UGC_rpr.pdb,7.17
Triple_cWH_cSH_CGU_rpr.pdb,7.22
Triple_tWH_cSS_UGC_rpr.pdb,7.29
Triple_tWH_cSS_CGU_rpr.pdb,7.39
